trial_id,trial_gene_set
287,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TPM1', 'UBB')"
288,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TPM1', 'TIMP1')"
289,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TPM1', 'HSPB1')"
290,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TPM1', 'HSPA8')"
291,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TPM1', 'FTL')"
292,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TPM1', 'FTH1')"
293,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBC', 'UBB')"
294,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBC', 'TIMP1')"
295,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBC', 'HSPB1')"
296,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBC', 'HSPA8')"
297,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBC', 'FTL')"
298,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBC', 'FTH1')"
299,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBB', 'TIMP1')"
300,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBB', 'HSPB1')"
301,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBB', 'HSPA8')"
302,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBB', 'FTL')"
303,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'UBB', 'FTH1')"
304,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TIMP1', 'HSPB1')"
305,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TIMP1', 'HSPA8')"
306,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TIMP1', 'FTL')"
307,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'TIMP1', 'FTH1')"
308,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'HSPB1', 'HSPA8')"
309,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'HSPB1', 'FTL')"
310,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'HSPB1', 'FTH1')"
311,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'HSPA8', 'FTL')"
312,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'HSPA8', 'FTH1')"
313,"('H19', 'MYL7', 'TNNC1', 'MYL4', 'FTL', 'FTH1')"
